Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,92.320000,93.680000,92.320000,92.940002,86.224632,408400
2016-12-06,93.379997,94.650002,92.290001,92.900002,86.187515,311200
2016-12-07,92.300003,93.510002,91.989998,92.980003,86.261734,551900
2016-12-08,93.809998,94.639999,92.820000,93.989998,87.198761,596300
2016-12-09,94.500000,94.820000,94.019997,94.169998,87.365746,275800
2016-12-12,93.610001,93.959999,92.489998,93.050003,86.326683,357100
2016-12-13,93.379997,93.959999,92.309998,92.410004,85.732918,352300
2016-12-14,92.559998,93.150002,91.760002,92.180000,85.519531,389000
2016-12-15,92.830002,93.489998,91.620003,92.320000,85.649445,375500
2016-12-16,92.580002,92.879997,90.139999,90.419998,83.886719,903400
2016-12-19,92.510002,92.989998,90.980003,91.220001,84.628914,457200
2016-12-20,91.519997,92.360001,91.239998,91.389999,84.786621,414000
2016-12-21,90.910004,91.730003,90.050003,90.540001,83.998047,444400
2016-12-22,90.839996,90.919998,87.639999,87.669998,81.335419,716000
2016-12-23,87.959999,88.199997,87.190002,87.480003,81.159142,790500
2016-12-27,87.470001,90.580002,87.470001,89.760002,83.274406,602800
2016-12-28,89.989998,90.349998,88.940002,89.239998,82.791969,538000
2016-12-29,89.250000,89.680000,87.800003,88.080002,81.715790,567200
2016-12-30,88.070000,88.389999,85.879997,86.389999,80.147888,841300
2017-01-03,87.650002,88.050003,86.599998,86.940002,80.658180,589200
2017-01-04,87.660004,89.629997,87.660004,89.510002,83.042473,853800
2017-01-05,88.349998,88.709999,85.599998,86.339996,80.101524,1322200
2017-01-06,86.529999,86.529999,84.440002,85.480003,79.303673,879500
2017-01-09,85.559998,86.660004,85.480003,86.500000,80.249954,475000
2017-01-10,85.940002,87.010002,85.940002,85.970001,79.758247,532600
2017-01-11,86.059998,86.059998,84.470001,85.220001,79.062431,568200
2017-01-12,84.500000,85.519997,83.849998,84.839996,78.709892,490900
2017-01-13,84.989998,86.029999,84.120003,84.900002,78.765556,444200
2017-01-17,85.309998,89.019997,85.139999,88.080002,81.715790,1195400
2017-01-18,88.000000,89.230003,85.190002,86.000000,79.786072,623000
2017-01-19,86.080002,86.800003,83.570000,83.830002,77.772873,485000
2017-01-20,83.580002,84.620003,83.360001,84.589996,78.477936,440100
2017-01-23,84.099998,85.309998,83.779999,84.550003,78.440849,287600
2017-01-24,84.320000,85.529999,84.320000,85.080002,78.932556,348300
2017-01-25,86.190002,88.970001,86.190002,86.790001,80.518990,937600
2017-01-26,86.989998,87.529999,85.629997,85.720001,79.526314,440100
2017-01-27,86.000000,86.540001,81.879997,82.169998,76.232819,962800
2017-01-30,82.199997,83.739998,80.860001,83.430000,77.401772,932200
2017-01-31,82.510002,83.980003,81.230003,83.750000,77.698647,572400
2017-02-01,84.099998,84.099998,81.889999,82.699997,76.724533,690100
2017-02-02,82.629997,83.080002,81.510002,82.449997,76.492584,537000
2017-02-03,82.349998,82.739998,79.250000,79.800003,74.034065,1578900
2017-02-06,80.010002,81.739998,79.629997,79.739998,73.978394,1250300
2017-02-07,80.269997,80.519997,77.970001,78.320000,72.660995,918200
2017-02-08,78.220001,79.900002,77.940002,79.720001,73.959854,1150000
2017-02-09,79.889999,81.459999,79.400002,81.080002,75.221573,799100
2017-02-10,81.739998,84.339996,81.739998,83.029999,77.030678,1072400
2017-02-13,83.139999,83.730003,82.470001,83.010002,77.012115,710700
2017-02-14,83.830002,85.970001,83.639999,83.839996,77.782150,1116500
2017-02-15,84.050003,84.940002,83.010002,83.410004,77.383232,899900
2017-02-16,83.839996,84.320000,82.800003,82.919998,76.928635,685600
2017-02-17,82.820000,84.019997,82.440002,83.720001,77.670815,843900
2017-02-21,84.040001,85.260002,83.779999,83.980003,77.912041,691500
2017-02-22,83.970001,85.779999,82.750000,83.580002,77.540924,1822300
2017-02-23,90.949997,90.949997,86.910004,87.059998,80.769493,4040700
2017-02-24,86.860001,91.010002,86.860001,90.040001,83.534164,1869100
2017-02-27,89.949997,91.059998,89.779999,90.089996,83.580551,988600
2017-02-28,89.849998,90.279999,87.720001,88.010002,81.650848,806100
2017-03-01,89.160004,89.160004,87.089996,87.919998,81.567360,753700
2017-03-02,88.010002,89.000000,86.930000,88.500000,82.105453,986400
2017-03-03,88.339996,88.660004,85.959999,87.220001,80.917938,891600
2017-03-06,87.339996,87.769997,86.839996,87.510002,81.186981,809300
2017-03-07,87.180000,87.720001,86.300003,86.830002,80.556099,717500
2017-03-08,87.129997,88.410004,86.610001,87.860001,81.860519,1355300
2017-03-09,87.970001,88.279999,86.830002,87.239998,81.282852,513200
2017-03-10,87.480003,88.820000,87.419998,88.680000,82.624519,791200
2017-03-13,88.339996,89.089996,87.949997,88.940002,82.866768,1538400
2017-03-14,89.089996,89.709999,88.330002,88.370003,82.335670,1078900
2017-03-15,88.400002,90.309998,88.199997,89.720001,83.593491,1737500
2017-03-16,89.730003,91.250000,89.550003,90.800003,84.599754,1027600
2017-03-17,91.059998,91.470001,90.629997,91.160004,84.935165,907300
2017-03-20,91.000000,91.709999,89.019997,89.290001,83.192863,595400
2017-03-21,89.820000,90.550003,88.440002,89.250000,83.155602,699600
2017-03-22,88.760002,89.300003,87.370003,89.250000,83.155602,621000
2017-03-23,89.760002,90.489998,89.269997,89.760002,83.630768,738700
2017-03-24,89.809998,90.570000,89.290001,89.680000,83.556229,755000
2017-03-27,88.620003,89.779999,88.260002,88.790001,82.726990,646400
2017-03-28,88.779999,89.970001,88.440002,89.879997,83.742584,738600
