Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,4.610000,4.640000,4.450000,4.490000,4.490000,396300
2016-12-13,4.510000,4.570000,4.170000,4.190000,4.190000,830500
2016-12-14,4.200000,4.430000,4.170000,4.360000,4.360000,560300
2016-12-15,4.180000,4.400000,4.180000,4.310000,4.310000,602600
2016-12-16,4.340000,4.400000,4.270000,4.320000,4.320000,704100
2016-12-19,4.350000,4.450000,4.290000,4.340000,4.340000,470700
2016-12-20,4.350000,4.450000,4.260000,4.430000,4.430000,840900
2016-12-21,4.460000,4.530000,4.310000,4.400000,4.400000,548100
2016-12-22,4.400000,4.570000,4.400000,4.530000,4.530000,699600
2016-12-23,4.510000,4.640000,4.450000,4.630000,4.630000,426600
2016-12-27,4.600000,4.710000,4.530000,4.600000,4.600000,586000
2016-12-28,4.620000,4.650000,4.440000,4.450000,4.450000,722400
2016-12-29,4.460000,4.470000,4.290000,4.420000,4.420000,798800
2016-12-30,4.440000,4.500000,4.300000,4.400000,4.400000,372900
2017-01-03,4.400000,4.640000,4.350000,4.630000,4.630000,584500
2017-01-04,4.670000,4.730000,4.580000,4.590000,4.590000,611300
2017-01-05,4.600000,4.680000,4.540000,4.550000,4.550000,319400
2017-01-06,4.550000,4.610000,4.500000,4.550000,4.550000,287500
2017-01-09,4.550000,4.810000,4.520000,4.700000,4.700000,823200
2017-01-10,4.710000,4.880000,4.650000,4.860000,4.860000,491900
2017-01-11,4.910000,5.080000,4.840000,5.050000,5.050000,852200
2017-01-12,5.090000,5.270000,4.920000,5.030000,5.030000,614200
2017-01-13,5.010000,5.110000,4.870000,5.110000,5.110000,362800
2017-01-17,5.110000,5.130000,4.980000,5.020000,5.020000,519000
2017-01-18,5.080000,5.080000,4.850000,5.030000,5.030000,532000
2017-01-19,5.020000,5.020000,4.850000,4.880000,4.880000,384100
2017-01-20,4.880000,4.930000,4.830000,4.860000,4.860000,342700
2017-01-23,4.880000,4.960000,4.800000,4.920000,4.920000,334900
2017-01-24,4.910000,5.100000,4.890000,4.950000,4.950000,321200
2017-01-25,4.970000,5.060000,4.880000,4.950000,4.950000,311100
2017-01-26,4.950000,5.000000,4.850000,4.870000,4.870000,175600
2017-01-27,4.850000,5.080000,4.810000,5.030000,5.030000,555900
2017-01-30,5.030000,5.110000,4.930000,5.030000,5.030000,384400
2017-01-31,5.320000,5.850000,5.300000,5.350000,5.350000,1995200
2017-02-01,5.440000,5.500000,5.270000,5.490000,5.490000,634900
2017-02-02,5.470000,5.620000,5.330000,5.610000,5.610000,451400
2017-02-03,5.640000,5.700000,5.510000,5.700000,5.700000,399300
2017-02-06,5.650000,5.670000,5.530000,5.650000,5.650000,274100
2017-02-07,5.680000,5.780000,5.570000,5.650000,5.650000,384500
2017-02-08,5.660000,5.730000,5.380000,5.500000,5.500000,398500
2017-02-09,5.520000,5.690000,5.520000,5.650000,5.650000,410700
2017-02-10,5.650000,5.750000,5.510000,5.550000,5.550000,251200
2017-02-13,5.610000,5.750000,5.540000,5.580000,5.580000,367300
2017-02-14,5.560000,5.730000,5.560000,5.700000,5.700000,437800
2017-02-15,5.690000,5.760000,5.520000,5.710000,5.710000,506700
2017-02-16,5.680000,5.960000,5.680000,5.910000,5.910000,439300
2017-02-17,5.930000,5.940000,5.800000,5.870000,5.870000,254000
2017-02-21,5.930000,6.000000,5.900000,5.970000,5.970000,369900
2017-02-22,6.000000,6.070000,5.850000,5.860000,5.860000,271100
